********************day2023_10_26_23_55*********************
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
没有发现圆环, 重试, 并发送:  ['k', 'b', 'd', 'h']
